,DBA,borough,ZIPCODE,CUISINE DESCRIPTION,INSPECTION DATE,VIOLATION CODE,CRITICAL FLAG,score,GRADE DATE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Bayes Classification
20655,Wall Street Grill,wealthier,10005,Jewish/Kosher,10/2/19,02G,Y,1,10/2/19,40.70494895,-74.00869221,101,1,700,1085950,1000317501,MN25,1
20656,AUNTIE ANN'S,less wealthy,11373,Hotdogs/Pretzels,12/18/19,08A,N,1,12/18/19,40.73384018,-73.87157703,404,25,68300,4045999,4018600100,QN29,1
20657,LOMA RESTAURANT #2,less wealthy,11207,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11/27/19,02B,Y,1,11/27/19,40.68574313,-73.91546109999999,304,37,40100,3078466,3034010002,BK78,1
20658,MR. SOON TOFU,less wealthy,11354,Korean,5/13/19,10F,N,1,5/13/19,40.76488941,-73.812147,407,20,115500,4119192,4052660007,QN51,1
20659,PALOMA,wealthier,10018,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",8/22/19,10F,N,1,8/22/19,40.75139505,-73.98375476,105,4,8400,1090631,1008400027,MN17,1
20660,DOMENICKS PIZZA RESTARUANT,less wealthy,11435,Pizza,7/17/19,10A,N,1,7/17/19,40.70512575,-73.80941263,412,24,23800,4207059,4096900013,QN61,1
20661,CANAL STREET OYSTERS,wealthier,10013,Seafood,1/17/20,04L,Y,1,1/17/20,40.72104725,-74.00485944,101,1,3300,1002728,1002110018,MN24,1
20662,SUNSET COFFEE SHOP AND RESTAURANT,less wealthy,11220,Café/Coffee/Tea,12/11/19,10F,N,1,12/11/19,40.64670349,-74.01941602,307,38,2200,3014477,3008200035,BK32,1
20663,WAH LUNG RESTAURANT,less wealthy,11229,Chinese,4/3/19,04M,Y,1,4/3/19,40.61039898,-73.95425608,315,48,55000,3182519,3067820023,BK44,1
20664,ZU RANG,less wealthy,11358,Korean,11/6/19,08C,N,0,11/6/19,40.76111801,-73.80389126,407,20,117100,4450055,4053340020,QN51,0
20665,BONSAI KAKIGORI,wealthier,10002,Café/Coffee/Tea,9/25/19,04N,Y,1,9/25/19,40.72131571,-73.98802993,103,1,3001,1005410,1004120036,MN27,1
20666,JM COFFEE SHOP RESTAURANT,less wealthy,11101,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",4/18/19,10H,N,1,4/18/19,40.75558648,-73.94192346,401,26,8500,4005324,4004710696,QN68,1
20667,KINGSTON PIZZA,less wealthy,11213,Pizza,11/23/19,10J,N,1,11/23/19,40.67087473,-73.94204798,308,35,33900,3032489,3012580009,BK61,1
20668,A & R DELI,less wealthy,10469,Spanish,4/3/19,06E,Y,1,4/3/19,40.861680299999996,-73.84328561,211,13,31200,2052924,2044780029,BX31,1
20669,GOLDEN DINER,wealthier,10002,American,8/22/19,09C,N,1,8/22/19,40.71233529999999,-73.99405545,103,1,800,1003285,1002750027,MN27,1
20670,BRUCE & ARMANI GOURMET LOUNGE,less wealthy,11237,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",8/27/19,06C,Y,1,8/27/19,40.69934902,-73.92333824,304,37,42900,3073814,3032460003,BK77,1
20671,LUDLOW HOUSE,wealthier,10002,American,4/10/19,10F,N,1,4/10/19,40.72043466,-73.9881816,103,1,3001,1005359,1004110029,MN27,1
20672,TE QUIERO,less wealthy,11694,Mexican,9/17/19,08A,N,1,9/17/19,40.58096386,-73.8331,414,32,93800,4452160,4161660050,QN10,1
20673,GONG CHA,less wealthy,11354,Café/Coffee/Tea,4/18/19,04L,Y,1,4/18/19,40.76023757,-73.8264367,407,20,85300,4113559,4050190063,QN22,1
20674,MAMA PHO,less wealthy,11222,Asian,12/26/19,10D,N,1,12/26/19,40.72502525,-73.95152174,301,33,56900,3066032,3026450013,BK76,1
20675,BIBBLE & SIP,wealthier,10013,Café/Coffee/Tea,1/15/20,06C,Y,1,1/15/20,40.71800063,-73.99752169,102,1,4100,1002640,1002050018,MN24,1
20676,SUSHI SUSHI,wealthier,10012,Asian,5/16/19,10F,N,1,5/16/19,40.73010508,-74.00037885,102,1,6500,1008699,1005400012,MN23,1
20677,TURKUAZ,wealthier,10019,Turkish,4/18/19,02G,Y,1,4/18/19,40.764421899999995,-73.98536883,104,3,13300,1025243,1010430040,MN15,1
20678,GRILL-N-DINE,less wealthy,11218,Middle Eastern,7/16/19,10F,N,1,7/16/19,40.63830452,-73.96852682,312,40,49200,3126907,3053930019,BK41,1
20679,15 FLAVORS,less wealthy,10461,"Ice Cream, Gelato, Yogurt, Ices",4/15/19,10B,N,1,4/15/19,40.84630455,-73.83182086,210,13,26602,2046093,2041690016,BX10,1
20680,PERK KAFE,wealthier,10009,Café/Coffee/Tea,1/3/20,06E,Y,1,1/3/20,40.72983142,-73.97896850000001,103,2,3400,1005242,1004070025,MN22,1
20681,POPEYES,less wealthy,11691,Chicken,6/5/19,10F,N,1,6/5/19,40.60262173,-73.74956289,414,31,103202,4298230,4155570001,QN15,1
20682,DUNKIN' DONUTS,less wealthy,11435,Donuts,5/13/19,10B,N,1,5/13/19,40.69965186,-73.80728972,412,27,20800,4596271,4099980052,QN61,1
20683,HENRY'S END,less wealthy,11201,American,1/13/20,10B,N,1,1/13/20,40.69864704,-73.99244823,302,33,100,3001696,3002260021,BK09,1
20684,NEXUS CLUB NEW YORK,wealthier,10007,American,7/9/19,06D,Y,1,7/9/19,40.71296087,-74.00949045,101,1,2100,1001409,1001250020,MN24,1
20685,BLACK SEED BAGELS,less wealthy,11201,Bagels/Pretzels,4/23/19,02G,Y,1,4/23/19,40.69017116,-73.99212105,302,33,900,3388736,3002777501,BK09,1
20686,K & S RAMEN,wealthier,10002,Japanese,9/5/19,09C,N,1,9/5/19,40.71848891,-73.99148639,103,1,1800,1005434,1004130010,MN27,1
20687,HUNAN K,less wealthy,11377,Chinese,5/14/19,10F,N,1,5/14/19,40.74145307,-73.90415621,402,26,24500,4437383,4023140100,QN63,1
20688,STEAMY HALLOWS,wealthier,10009,Café/Coffee/Tea,7/26/19,04A,Y,0,7/26/19,40.7252127,-73.98338234,103,2,3200,1005049,1004010017,MN22,0
20689,SELAMAT PAGI,less wealthy,11222,Indonesian,9/18/19,04N,Y,1,9/18/19,40.72304862,-73.94458195,301,33,59100,3067077,3026860050,BK76,1
20690,IN BETWEEN DOS CAFE,less wealthy,11385,Mexican,11/29/19,10F,N,1,11/29/19,40.71186247,-73.91939205,405,34,53900,4080966,4033940022,QN20,1
20691,SUSHI OF GARI TRIBECA,wealthier,10013,Japanese,4/16/19,02H,Y,1,4/16/19,40.7166664,-74.0083258,101,1,3300,1001571,1001440032,MN24,1
20692,SUSHI OF GARI/UPPER EAST SIDE,wealthier,10075,Asian,8/15/19,10B,N,1,8/15/19,40.77148912,-73.95282361,108,5,13200,1046005,1014720046,MN31,1
20693,GARI Columbus,wealthier,10024,Japanese,1/8/20,10F,N,1,1/8/20,40.78098496,-73.97620081,107,6,16100,1030212,1011490033,MN12,1
20694,SUSHI OF GARI 46,wealthier,10036,Japanese,5/30/19,06C,Y,1,5/30/19,40.76036558,-73.98927546,104,3,12700,1025048,1010370012,MN15,1
20695,LUIGI'S PIZZA RESTURANT,less wealthy,11229,Pizza,8/27/19,02G,Y,1,8/27/19,40.59896459,-73.95523981,315,48,58000,3198175,3073210042,BK44,1
20696,RITA'S ICE,wealthier,10314,"Ice Cream, Gelato, Yogurt, Ices",9/13/19,10F,N,1,9/13/19,40.58229742,-74.16905259,502,51,27702,5039658,5024000180,SI24,1
20697,FRESCO Y RAPIDO,less wealthy,10457,Spanish,9/23/19,02H,Y,1,9/23/19,40.84486092,-73.91014019,204,15,22703,2007872,2028240045,BX41,1
20698,CAFE DE COLOMBIA BAKERY,less wealthy,11372,Bakery,8/5/19,02B,Y,1,8/5/19,40.74986285,-73.88322892,403,25,28100,4035828,4014570034,QN28,1
20699,BROOKLYN TREATS,less wealthy,11216,Sandwiches,8/15/19,04N,Y,1,8/15/19,40.67761927,-73.94913721,308,36,31500,3346708,3012010074,BK61,1
20700,WOODSIDE KITCHEN,less wealthy,11373,Chinese,10/24/19,08C,N,1,10/24/19,40.74341806,-73.88867153,404,25,48300,4037785,4015220005,QN50,1
20701,BELLA CHOLULITA,less wealthy,11237,Spanish,9/18/19,02H,Y,1,9/18/19,40.70217403,-73.92429433,304,34,42900,3072947,3032090031,BK77,1
20702,CREPES AND THINGS,wealthier,10012,American,7/17/19,10F,N,1,7/17/19,40.72648444,-73.99177039,102,1,5502,1008522,1005310043,MN23,1
20703,BON APPETIT,wealthier,10011,American,5/8/19,06D,Y,1,5/8/19,40.74105943,-73.99968244,104,3,8100,1013848,1007670012,MN13,1
20704,BON APPETIT,wealthier,10011,Café/Coffee/Tea,10/21/19,10E,N,1,10/21/19,40.74105943,-73.99968244,104,3,8100,1013848,1007670012,MN13,1
20705,BORN THAI,less wealthy,11217,Thai,10/21/19,10J,N,1,10/21/19,40.67907131,-73.97381815,308,35,16100,3028335,3011500007,BK64,1
20706,PRET A MANGER (USA) LIMITED,less wealthy,11201,Sandwiches/Salads/Mixed Buffet,4/26/19,10F,N,1,4/26/19,40.69371953,-73.98569453,302,33,1100,3255603,3001480007,BK38,1
20707,NOM!,wealthier,10003,American,8/22/19,06C,Y,1,8/22/19,40.73316805,-73.99344379,102,2,6100,1009261,1005680018,MN23,1
20708,BLVD BISTRO,wealthier,10026,Soul Food,10/17/19,04L,Y,1,10/17/19,40.8042735,-73.95548409999999,110,9,20102,1055855,1018480053,MN11,1
20709,YOLPAQUI TAQUERIA,wealthier,10302,Mexican,5/14/19,10F,N,1,5/14/19,40.62473983,-74.1363392,501,49,24700,5106999,5010530101,SI28,1
20710,PLACE FRIED CHICKEN & PIZZA,less wealthy,11237,American,11/18/19,08A,N,1,11/18/19,40.70064822,-73.91309069,304,37,44100,3076199,3033290007,BK77,1
20711,SAMUDRA RESTAURANT,wealthier,10019,Indian,5/8/19,02B,Y,1,5/8/19,40.76620618,-73.98694603,104,3,13900,1025404,1010450002,MN15,1
20712,BAGEL STORY,less wealthy,11216,American,1/7/20,10I,N,1,1/7/20,40.68055753,-73.95228609,303,36,24500,3052977,3018420053,BK75,1
20713,CROWN FRIED CHICKEN,less wealthy,11233,American,12/20/19,06D,Y,0,12/20/19,40.67194069,-73.91689901,316,41,36300,3039307,3014640001,BK79,1
20714,MONUMENT SPORT BAR,less wealthy,10453,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10/25/19,04A,Y,1,10/25/19,40.850413700000004,-73.91036761,205,14,23301,2008247,2028530001,BX41,1
20715,WW CAFE,less wealthy,11219,Chinese,7/5/19,02H,Y,1,7/5/19,40.63450173,-74.00486392,312,38,11600,3140586,3057010034,BK88,1
20716,THE BRESLIN,wealthier,10001,American,8/14/19,10F,N,1,8/14/19,40.74569743,-73.98782704,105,4,7600,1015739,1008300054,MN17,1
20717,ST. ELIAS,less wealthy,11206,"Bottled beverages, including water, sodas, juices, etc.",11/8/19,04A,Y,1,11/8/19,40.69788606,-73.9368493,304,34,38900,3071782,3031360001,BK78,1
20718,BKK EATERY,wealthier,10016,Thai,9/4/19,10B,N,1,9/4/19,40.74625891,-73.97942164,106,2,7200,1018509,1008890062,MN20,1
20719,HERALD SQUARE CAFE,wealthier,10001,Café/Coffee/Tea,3/29/19,04L,Y,1,3/29/19,40.75050916,-73.98947917,105,3,10900,1015219,1008100001,MN17,1
20720,BONNIE'S GRILL,less wealthy,11215,American,7/26/19,10I,N,1,7/26/19,40.67424484,-73.98207924,306,39,13300,3330512,3009640042,BK37,1
20721,LEGEND CHICKEN,less wealthy,11354,Chicken,7/30/19,10F,N,1,7/30/19,40.75886248,-73.83012937,407,20,87100,4114130,4050360050,QN22,1
20722,TORNADO CREPE,less wealthy,11385,Other,6/25/19,06C,Y,1,6/25/19,40.70023366,-73.90271541,405,34,55700,4086226,4035730011,QN20,1
20723,JADE SEA CHINESE RESTAURANT,less wealthy,11361,Chinese,11/26/19,08C,N,1,11/26/19,40.76872574,-73.77365135,411,19,112300,4136457,4061690014,QN46,1
20724,VAN LEEUWEN ICE CREAM,wealthier,10023,"Ice Cream, Gelato, Yogurt, Ices",1/15/20,06C,Y,1,1/15/20,40.77717853,-73.97894627,107,6,15700,1028626,1011240062,MN14,1
20725,ZEST,less wealthy,11201,Japanese,8/21/19,10F,N,0,8/21/19,40.68566691,-73.99119132,302,33,6900,3006062,3003900045,BK38,0
20726,VAN LEEUWEN ICE CREAM,wealthier,10012,"Ice Cream, Gelato, Yogurt, Ices",8/27/19,10H,N,1,8/27/19,40.72980041,-74.00063863,102,1,6500,1008696,1005400009,MN23,1
20727,FOO ON RESTAURANT,less wealthy,11432,Chinese,5/7/19,06D,Y,1,5/7/19,40.71387037,-73.77871171,412,27,47000,4212729,4099300026,QN61,1
20728,VAN LEEUWEN ICE CREAM,wealthier,10016,"Ice Cream, Gelato, Yogurt, Ices",8/22/19,10H,N,1,8/22/19,40.74329465,-73.97990253,106,2,7200,1083072,1008867502,MN20,1
20729,MIDICI OF WILLIAMSBURG,less wealthy,11211,Pizza,8/16/19,06A,Y,1,8/16/19,40.71565468,-73.95870352,301,34,55300,3424287,3023520020,BK73,1
20730,THE CALAVERAS,wealthier,10025,Mexican,6/25/19,10F,N,1,6/25/19,40.79959075,-73.96259181,107,7,19300,1055673,1018420064,MN09,1
20731,BOOMERANG TWO,less wealthy,11358,Korean,1/16/20,06D,Y,1,1/16/20,40.76174363,-73.80378112,407,20,117100,4120470,4053360027,QN51,1
20732,CUE BAR,less wealthy,11361,American,6/1/19,10F,N,1,6/1/19,40.75979889,-73.76907941,411,19,144700,4156884,4073130031,QN46,1
20733,XI'AN FAMOUS FOODS,less wealthy,11101,Asian,10/4/19,10F,N,1,10/4/19,40.74739048,-73.94163469,402,26,1900,4005142,4004330005,QN31,1
20734,Sweeter Man's Pastries,less wealthy,11427,Bakery,8/12/19,10H,N,1,8/12/19,40.72116798,-73.75926035,413,23,49200,4225775,4105810001,QN06,1
20735,JAD JAAN,wealthier,10032,Thai,7/29/19,08A,N,1,7/29/19,40.84133299,-73.9377318,112,10,25300,1063021,1021260030,MN36,1
20736,TOCO AZUL,less wealthy,11357,Mexican,11/25/19,09C,N,1,11/25/19,40.79275817,-73.81289149,407,19,98100,4102637,4045150031,QN49,1
20737,HECTOR & MARCO PIZZERIA,less wealthy,10461,Mexican,12/4/19,04L,Y,1,12/4/19,40.84267284,-73.85143366,210,18,20400,2042250,2039970045,BX59,1
20738,NEW FRESH TORTILLAS TACO,less wealthy,11214,Tex-Mex,4/22/19,06A,Y,1,4/22/19,40.60840983,-74.0045775,311,43,17800,3166500,3063660041,BK27,1
20739,WALSH'S PUB,less wealthy,11385,American,5/9/19,10F,N,1,5/9/19,40.70345787,-73.89545771,405,30,58100,4088114,4036280052,QN20,1
20740,VANILLA GORILLA CAFE,wealthier,10036,Café/Coffee/Tea,9/4/19,10F,N,1,9/4/19,40.7589713,-73.98992182,104,3,12100,1024974,1010340048,MN15,1
20741,ROSE CAKE HOUSE,less wealthy,11355,Bakery,11/1/19,10E,N,0,11/1/19,40.75173126,-73.826246,407,20,79701,4311740,4051400056,QN22,0
20742,SUNG BOOK DONG,less wealthy,11362,Other,7/22/19,02G,Y,1,7/22/19,40.76748478,-73.73861916,411,19,147900,4169059,4081180028,QN45,1
20743,CHECKERS,less wealthy,11368,Hamburgers,12/18/19,04N,Y,1,12/18/19,40.73668798,-73.86567170000001,404,21,44302,4000000,4019030002,QN25,1
20744,El Nuevo Valle Seafood Restaurant,wealthier,10034,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",9/27/19,10F,N,1,9/27/19,40.86592552,-73.91960952,112,10,29300,1064785,1022230001,MN01,1
20745,LCZ A RESTAURANT,less wealthy,11220,Chinese,9/30/19,06A,Y,1,9/30/19,40.64324945,-74.00149901,307,38,9400,3012065,3007590041,BK34,1
20746,LA FONDA REST CORP,less wealthy,11377,Spanish,11/26/19,08A,N,1,11/26/19,40.73747423,-73.89592737,402,30,48900,4056349,4024350006,QN50,1
20747,TAP HAUS,wealthier,10016,American,11/20/19,06E,Y,1,11/20/19,40.74742071,-73.98425017,105,4,7400,1017030,1008627502,MN17,1
20748,BIN141,wealthier,10009,American,10/8/19,06D,Y,1,10/8/19,40.72373901,-73.98522627,103,2,3200,1005762,1004310031,MN22,1
20749,DESI HALAL BBQ,less wealthy,11101,Pakistani,5/21/19,10H,N,1,5/21/19,40.75339637,-73.92355372,401,26,15700,4010855,4006650027,QN70,1
20750,ORIENTAL TEA/SWEET CORNER,less wealthy,11220,Café/Coffee/Tea,8/26/19,06D,Y,1,8/26/19,40.63511083,-74.00895329999999,312,38,11800,3000000,3057140013,BK34,1
20751,HASALON,wealthier,10019,Mediterranean,9/6/19,10C,N,1,9/6/19,40.76458723,-73.99186674,104,3,12900,1083799,1010780023,MN15,1
20752,BITTERSWEET,less wealthy,11205,Café/Coffee/Tea,5/7/19,06D,Y,1,5/7/19,40.68958075,-73.97251588,302,35,18100,3059014,3021020031,BK68,1
20753,DOC HENNIGANS,wealthier,10310,American,5/30/19,10B,N,1,5/30/19,40.62670384,-74.12790981,501,49,15100,5009648,5003520031,SI07,1
20754,GONG CHA,less wealthy,11354,Café/Coffee/Tea,10/22/19,10F,N,1,10/22/19,40.75977791,-73.82923543,407,20,85300,4113546,4050190005,QN22,1
20755,XIANG XIANG NOODLE,wealthier,10010,Chinese,10/9/19,02B,Y,1,10/9/19,40.73990574,-73.98573149,105,2,6800,1080807,1008780069,MN21,1
20756,MILKCOW,wealthier,10013,"Ice Cream, Gelato, Yogurt, Ices",6/19/19,06A,Y,1,6/19/19,40.71551388,-73.99819996,103,1,2900,1001789,1001630018,MN27,1
20757,DA E NET 777 CAFE,less wealthy,11229,Eastern European,9/12/19,10F,N,1,9/12/19,40.59850502,-73.95939562,315,48,58200,3197934,3073160039,BK25,1
20758,LIU JI FOOD COURT,less wealthy,11355,Chinese,8/20/19,10B,N,1,8/20/19,40.75791859,-73.82848941,407,20,85300,4309526,4050447501,QN22,1
20759,PLACE TO BEACH CANTINA,less wealthy,11224,American,8/17/19,02B,Y,1,8/17/19,40.57304722,-73.98086464,313,47,35200,3189663,3070740382,BK21,1
20760,FLYWHEEL,less wealthy,11224,American,10/1/19,04N,Y,0,10/1/19,40.57542644,-73.97800579,313,47,35200,3245158,3086960212,BK21,0
20761,FOOD KING RESTAURANT,less wealthy,11236,Chinese,12/23/19,06F,Y,1,12/23/19,40.63637849,-73.89881672,318,46,100800,3232598,3082570038,BK50,1
20762,RETRO FITNESS,less wealthy,11374,"Juice, Smoothies, Fruit Salads",5/28/19,06D,Y,1,5/28/19,40.73198217,-73.86693327,406,29,71702,4615631,4020750039,QN18,1
20763,SIDE BAR,wealthier,10001,Café/Coffee/Tea,8/20/19,09C,N,1,8/20/19,40.75543921,-74.00221983,104,3,9900,1000000,1007050001,MN13,1
20764,THAI PARAGON,wealthier,10029,Thai,11/19/19,10F,N,1,11/19/19,40.78818023,-73.9534726,111,4,16002,1051461,1016030014,MN33,1
20765,CUTS & SLICES,less wealthy,11233,Pizza,7/16/19,08C,N,1,7/16/19,40.68545853,-73.92050219,303,41,37700,3399378,3014910067,BK35,1
20766,BURGER UR WAY,less wealthy,11238,Hamburgers,9/30/19,06C,Y,1,9/30/19,40.67215069,-73.96059072,308,35,21700,3029616,3011780093,BK61,1
20767,T.A.M Restaurant & Catering,less wealthy,11434,Caribbean,8/28/19,10F,N,1,8/28/19,40.66959089,-73.78266948,412,28,29400,4448933,4122920054,QN02,1
20768,LAZY SUZY CAFE & SHOP,less wealthy,11221,Café/Coffee/Tea,9/17/19,02B,Y,1,9/17/19,40.6993311,-73.92529655,304,34,42300,3000000,3032180047,BK78,1
20769,VINCENZOS PIZZARIA RESTAURANT,less wealthy,11366,Pizza,12/17/19,10B,N,1,12/17/19,40.72302206,-73.79996315,408,24,124100,4151767,4070040001,QN38,1
20770,CHAIKHANA 7:40,less wealthy,11374,Jewish/Kosher,11/19/19,04C,Y,1,11/19/19,40.72884673,-73.8638186,406,29,69300,4072416,4030930030,QN18,1
20771,TACOMBI,wealthier,10024,Mexican,10/10/19,10F,N,1,10/10/19,40.782558200000004,-73.97873874,107,6,16500,1030234,1011500001,MN12,1
20772,BAGELERY,less wealthy,11354,Bakery,8/19/19,06C,Y,1,8/19/19,40.76399471,-73.80887892,407,19,117100,4119276,4052720001,QN51,1
20773,GRILL POINT,less wealthy,11229,Jewish/Kosher,12/10/19,02G,Y,1,12/10/19,40.60787924,-73.96165882,315,48,55400,3182308,3067740039,BK25,1
20774,TERRACE CAFE (HOGAN LOVELLS),wealthier,10017,American,11/19/19,10I,N,1,11/19/19,40.75573065,-73.97715194,105,4,9400,1035403,1012820017,MN17,1
20775,GREENBERG'S BAGELS,less wealthy,11249,Bagels/Pretzels,12/4/19,08A,N,1,12/4/19,40.71679218,-73.96207571,301,34,55500,3335727,3023500026,BK73,1
20776,SHOKUDO,wealthier,10036,Japanese,9/16/19,10F,N,1,9/16/19,40.76084056,-73.99085285,104,3,12100,1025029,1010360061,MN15,1
20777,AMERICAN AIRLINES ADMIRALS CLUB,less wealthy,11369,American,5/16/19,10F,N,1,5/16/19,40.77441403,-73.87729335,480,21,33100,4000000,4009260001,QN98,1
20778,JUICE & JOY - ORGANIC COFFEE,wealthier,10011,"Juice, Smoothies, Fruit Salads",10/4/19,08A,N,1,10/4/19,40.73457629,-73.99884894,102,3,6300,1009454,1005730006,MN23,1
20779,AZTECA RESTAURANT,less wealthy,11104,Other,6/10/19,04L,Y,1,6/10/19,40.74376807,-73.92404118,402,26,18101,4002571,4001930025,QN31,1
20780,NEW NOODLE 28,wealthier,10016,Chinese,1/7/20,08C,N,1,1/7/20,40.74273204,-73.98028884,106,2,7000,1019915,1009100002,MN20,1
20781,KABAYAN RESTAURANT AND BAKERY,less wealthy,11366,Filipino,11/20/19,10F,N,1,11/20/19,40.72097363,-73.80587137,408,24,126500,4148448,4068560038,QN38,1
20782,BOND STREET CAFE,less wealthy,11231,Café/Coffee/Tea,7/30/19,06C,Y,1,7/30/19,40.67789093,-73.99073809,306,39,7700,3425036,3004580001,BK33,1
20783,DAILY GOODS,wealthier,10038,Sandwiches/Salads/Mixed Buffet,9/27/19,02G,Y,1,9/27/19,40.70759784,-74.0057205,101,1,1502,1001126,1000690032,MN25,1
20784,KUNST COFFEE HAUS,less wealthy,11361,Café/Coffee/Tea,7/25/19,10F,N,1,7/25/19,40.76341545,-73.77268035,411,19,112900,4000000,4062270278,QN46,1
20785,METRO TACO,less wealthy,11375,Mexican,10/24/19,06F,Y,1,10/24/19,40.71043217,-73.85067628,406,29,73100,4077544,4032400059,QN17,1
20786,IZAKAYA FUKU,less wealthy,11372,Japanese,1/17/20,02G,Y,0,1/17/20,40.74654681,-73.89417361,404,25,26500,4311571,4013030011,QN50,0
20787,BEST PIZZA SHOP,less wealthy,11106,Pizza,12/16/19,10F,N,1,12/16/19,40.759173100000005,-73.92622545,401,26,5700,4008196,4006090029,QN70,1
20788,TURTLES ALL THE WAY DOWN,less wealthy,11221,American,10/3/19,10I,N,1,10/3/19,40.68500054,-73.9294844,303,36,29500,3045830,3016560045,BK35,1
20789,RINCON LATINO 103 RESTAURANT,less wealthy,11368,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11/6/19,04L,Y,1,11/6/19,40.7504718,-73.8630199,403,21,40700,4044367,4017700036,QN26,1
20790,MIAN KITCHEN,wealthier,10169,Other,9/12/19,08A,N,1,9/12/19,40.75450075,-73.97595043,105,4,9200,1036185,1013000001,MN19,1
20791,CONEY'S CONES,less wealthy,11224,"Ice Cream, Gelato, Yogurt, Ices",6/22/19,10B,N,1,6/22/19,40.57325548,-73.9789388,313,47,35200,3412853,3086960212,BK21,1
20792,LEAN CRUST,less wealthy,11217,Pizza,12/2/19,04N,Y,1,12/2/19,40.68657032,-73.97506277,302,35,3500,3059296,3021160007,BK68,1
20793,KENNEDY FRIED CHICKEN,less wealthy,10456,Chicken,5/28/19,06D,Y,1,5/28/19,40.83293143,-73.90564286,203,16,14500,2001333,2023730023,BX01,1
20794,KENNEDY FRIED CHICKEN,less wealthy,10457,Chicken,9/20/19,10B,N,1,9/20/19,40.83791779999999,-73.90139658,203,16,16900,2128565,2029120025,BX01,1
20795,LA MADRINA,less wealthy,10467,Mexican,9/13/19,10I,N,1,9/13/19,40.87880862,-73.87319806,207,11,42902,2018503,2033520039,BX43,1
20796,DA MARINO NYC ITALIAN RESTAURANT,wealthier,10019,Italian,12/30/19,10B,N,1,12/30/19,40.76097992,-73.98498695,105,3,12500,1024781,1010200049,MN17,1
20797,BENY'S DELICE,less wealthy,11216,French,5/15/19,10B,N,1,5/15/19,40.68015288,-73.94955350000001,303,36,24700,3053750,3018610001,BK61,1
20798,HARBOR FITNESS GO!,less wealthy,11209,"Juice, Smoothies, Fruit Salads",8/5/19,10H,N,1,8/5/19,40.62189968,-74.02870611,310,43,16000,3153753,3060500008,BK31,1
20799,FAMOUS FAMIGLIA PIZZERIA,wealthier,10065,Pizza,9/3/19,06A,Y,1,9/3/19,40.76576537,-73.95747019,108,5,11600,1045578,1014630045,MN31,1
20800,LIV SALAD,less wealthy,11103,Salads,8/15/19,08A,N,1,8/15/19,40.76027792,-73.92015625,401,22,6100,4000000,4006490001,QN70,1
20801,TROPICAL PARADISE BALLROOM,less wealthy,11203,Caribbean,8/7/19,08A,N,1,8/7/19,40.63908284,-73.92902146,317,45,93200,3106484,3047850070,BK91,1
20802,CARA MIA,wealthier,10036,Italian,8/15/19,04N,Y,0,8/15/19,40.76197408,-73.99005853,104,3,12700,1026571,1010570034,MN15,0
20803,RAINBOW CHINESE RESTAURANT,less wealthy,10457,Chinese,12/4/19,02G,Y,1,12/4/19,40.84622391,-73.89279636,206,17,37300,2011993,2030680099,BX17,1
20804,CHICKENOW,less wealthy,10475,Chicken,8/6/19,02B,Y,1,8/6/19,40.86590541,-73.83042975,210,12,46201,2120098,2051410006,BX13,1
20805,TONY LUKE'S,less wealthy,11217,Sandwiches,10/30/19,06D,Y,1,10/30/19,40.68876999,-73.98086376,302,33,3700,3000468,3001610043,BK38,1
20806,Mr. Chicken and Mrs. Tea,less wealthy,11417,Chicken,6/25/19,02B,Y,1,6/25/19,40.66987276,-73.84259529,410,32,8800,4000000,4115440100,QN56,1
20807,ALEBRIJE MEXICAN RESTAURANT & CAFE,less wealthy,11237,Mexican,12/10/19,10B,N,1,12/10/19,40.70188252,-73.91944023,304,37,43100,3074202,3032580036,BK77,1
20808,KUNG FU CHICKEN,wealthier,10002,Chicken,8/12/19,04C,Y,1,8/12/19,40.71548903,-73.99383512,103,1,1600,1081955,1003010010,MN27,1
20809,SEAPORT BUFFET,less wealthy,11235,Chinese,11/25/19,02I,Y,1,11/25/19,40.58371937,-73.94723252,315,48,60800,3392752,3087790053,BK17,1
20810,YOUWAY VILLAGE CUISINE,less wealthy,11374,Chinese,4/3/19,06C,Y,1,4/3/19,40.72723789,-73.85453867,406,29,71306,4074784,4031590061,QN17,1
20811,KITSBY CAFE,less wealthy,11211,Café/Coffee/Tea,5/21/19,06D,Y,1,5/21/19,40.7142638,-73.96074969,301,34,55100,3395392,3023937501,BK73,1
20812,"JP MORGAN CHASE BANK, CLIENT DINING ROOM",wealthier,10017,American,5/17/19,09C,N,1,5/17/19,40.75573065,-73.97715194,105,4,9400,1035403,1012820017,MN17,1
20813,WANSHUN SEAFOOD RESTAURANT,less wealthy,11354,Chinese,12/4/19,10F,N,0,12/4/19,40.75886248,-73.83012937,407,20,87100,4535004,4050360148,QN22,0
